,pair,port_A,port_B,time,bundle,id,x_pos,y_pos,z_pos,x_A_raw,y_A_raw,x_B_raw,y_B_raw,x_A_undistorted,y_A_undistorted,x_B_undistorted,y_B_undistorted
573,"(0, 1)",0,1,465.81335325,44,3,-0.1063505199499212,-0.0022256464472706215,0.9465247808744779,463.905029296875,302.2308654785156,560.4050903320312,391.18438720703125,464.0560591486428,302.15638423082436,560.3953417649258,391.13868589273505
574,"(0, 1)",0,1,465.81335325,44,4,-0.10626355648510627,-0.04665821188492668,0.9184284045373554,462.30950927734375,277.5587463378906,561.3792724609375,334.78271484375,462.4363734290113,277.51393191541655,561.4058964944848,334.7577028338305
575,"(0, 1)",0,1,465.81335325,44,5,-0.1045971613507266,-0.09213665939043383,0.8925887764604302,461.096923828125,250.53985595703125,563.8892211914062,278.3218078613281,461.25373129145345,250.5198830536438,563.9690997674516,278.195409026608
576,"(0, 1)",0,1,465.81335325,44,6,-0.1576494877636677,-0.004614427679148437,0.9479828453473748,436.23992919921875,301.2751770019531,504.26153564453125,389.3704833984375,436.71266626302133,301.1180775341298,504.2645557489488,389.3374513779796
577,"(0, 1)",0,1,465.81335325,44,9,-0.20990365042535167,-0.004596039680460548,0.9467046582911508,406.50738525390625,301.1435241699219,447.347900390625,388.9447937011719,407.61841677300697,300.8616200240931,447.3941849985256,388.88617832057304
578,"(0, 2)",0,2,465.812637425,44,1,-0.052747723224642024,-0.046982908975247706,0.9239136870585176,492.126953125,277.711181640625,637.4461059570312,161.0962677001953,492.1288184469916,277.67474784038876,636.3622396717038,162.1086588954251
579,"(0, 2)",0,2,465.812637425,44,2,-0.0519172141157092,-0.09170352571161848,0.8950006805520999,491.4681396484375,251.15206909179688,647.509033203125,132.97308349609375,491.48303867927564,251.0853270020429,645.9306843658039,134.71586443183014
580,"(0, 2)",0,2,465.812637425,44,4,-0.10634951637912707,-0.046914510245639016,0.92358382618819,462.30950927734375,277.5587463378906,612.295166015625,159.2509307861328,462.4363734290113,277.51393191541655,611.6338422306151,160.0953222667609
581,"(0, 2)",0,2,465.812637425,44,5,-0.10481968007444743,-0.0925901045108883,0.8947260754767111,461.096923828125,250.53985595703125,622.0332641601562,129.85244750976562,461.25373129145345,250.5198830536438,620.9708986954377,131.42461282274786
582,"(0, 2)",0,2,465.812637425,44,6,-0.15773650157852634,-0.004809599785310562,0.9506279121021467,436.23992919921875,301.2751770019531,579.8829345703125,183.04991149902344,436.71266626302133,301.1180775341298,579.6930857904425,183.37335581469432
583,"(0, 2)",0,2,465.812637425,44,9,-0.2123580608796805,-0.007345713617940554,0.9500623833159221,406.50738525390625,301.1435241699219,552.7950439453125,178.71229553222656,407.61841677300697,300.8616200240931,552.7402855230503,179.01242885351576
584,"(1, 2)",1,2,465.81389517499997,44,1,-0.053294679764308815,-0.048065911459361566,0.9231052317708486,618.03076171875,336.0930480957031,637.4461059570312,161.0962677001953,618.1173923373714,336.0080449886136,636.3622396717038,162.1086588954251
585,"(1, 2)",1,2,465.81389517499997,44,2,-0.05344047484036978,-0.09168542037344432,0.8931935567807373,619.38623046875,279.6997985839844,647.509033203125,132.97308349609375,619.5621590857976,279.5062804732122,645.9306843658039,134.71586443183014
586,"(1, 2)",1,2,465.81389517499997,44,4,-0.10599356189345342,-0.04834091924703455,0.9222410284037015,561.3792724609375,334.78271484375,612.295166015625,159.2509307861328,561.4058964944848,334.7577028338305,611.6338422306151,160.0953222667609
