,Sync_Index,Port_0_Time,Port_1_Time,Port_2_Time
248,248,249090.13991085,249090.14820609998,249090.1351791
249,249,249090.13991085,249090.14820609998,249090.1351791
250,250,dropped,dropped,249090.16823965
251,251,249090.24573640001,dropped,249090.2346866
252,252,dropped,249090.2705605,249090.26877229998
253,253,dropped,249090.2705605,249090.26877229998
254,254,dropped,dropped,249090.3018196
255,255,dropped,dropped,249090.3688378
256,256,dropped,249090.41747195,249090.40185924998
257,257,dropped,249090.41747195,249090.40185924998
258,258,249090.4411141,dropped,249090.4347086
259,259,249090.5389895,249090.5485094,249090.53469895
260,260,249090.5389895,249090.5485094,249090.53469895
261,261,249090.5389895,249090.5485094,249090.53469895
262,262,dropped,dropped,249090.56781305
263,263,249090.64548429998,dropped,249090.6347381
264,264,dropped,249090.67053765,249090.66886079998
265,265,dropped,249090.67053765,249090.66886079998
266,266,dropped,dropped,249090.70196575
267,267,dropped,dropped,249090.76915105002
268,268,dropped,249090.81769135,249090.800833
269,269,dropped,249090.81769135,249090.800833
270,270,249090.8417167,dropped,249090.835973
271,271,249090.93898265,249090.94846255,249090.9358254
272,272,249090.93898265,249090.94846255,249090.9358254
273,273,249090.93898265,249090.94846255,249090.9358254
274,274,dropped,dropped,249090.96865435
275,275,249091.04549565,dropped,249091.03471185
276,276,dropped,249091.07055055,249091.06873185
277,277,dropped,249091.07055055,249091.06873185
278,278,dropped,dropped,249091.1016635
279,279,dropped,249091.2174541,249091.20164165
280,280,dropped,249091.2174541,249091.20164165
281,281,dropped,249091.2174541,249091.20164165
282,282,249091.24158065,dropped,249091.2356654
283,283,249091.3389419,249091.34854315,249091.33564065
284,284,249091.3389419,249091.34854315,249091.33564065
285,285,249091.3389419,249091.34854315,249091.33564065
286,286,dropped,dropped,249091.36871329998
287,287,249091.44549295,dropped,249091.43472015002
288,288,dropped,249091.47051545,249091.46777525
289,289,dropped,249091.47051545,249091.46777525
290,290,dropped,dropped,249091.5017784
291,291,dropped,249091.61802675,249091.60123305
292,292,dropped,249091.61802675,249091.60123305
293,293,dropped,249091.61802675,249091.60123305
294,294,249091.64204910002,dropped,249091.63533314998
295,295,249091.7390163,249091.7480653,249091.73473305
296,296,249091.7390163,249091.7480653,249091.73473305
297,297,249091.7390163,249091.7480653,249091.73473305
298,298,dropped,dropped,249091.76787585003
299,299,249091.84582325,dropped,249091.83480345
300,300,249091.84582325,dropped,249091.83480345
301,301,dropped,249091.87082945,249091.8687329
302,302,dropped,dropped,249091.9007804
303,303,dropped,249092.01773259998,249092.00213245
304,304,dropped,249092.01773259998,249092.00213245
305,305,dropped,249092.01773259998,249092.00213245
306,306,249092.0420909,dropped,249092.03524895
307,307,249092.13973695,249092.14873369999,249092.13508834998
308,308,249092.13973695,249092.14873369999,249092.13508834998
309,309,249092.13973695,249092.14873369999,249092.13508834998
310,310,dropped,dropped,249092.1691018
311,311,249092.24586735,dropped,249092.23523835
312,312,dropped,249092.27075000003,249092.26812145
313,313,dropped,249092.27075000003,249092.26812145
314,314,dropped,dropped,249092.30211684998
315,315,dropped,249092.41784195002,249092.40127445
316,316,dropped,249092.41784195002,249092.40127445
317,317,dropped,249092.41784195002,249092.40127445
318,318,249092.4417674,dropped,249092.43512455001
319,319,249092.5395148,249092.5485518,249092.5346895
320,320,249092.5395148,249092.5485518,249092.5346895
321,321,249092.5395148,249092.5485518,249092.5346895
322,322,dropped,dropped,249092.5678525
323,323,249092.64584205,dropped,249092.63472305
324,324,249092.64584205,dropped,249092.63472305
325,325,dropped,249092.6707816,249092.6681894
326,326,dropped,dropped,249092.702179
327,327,dropped,dropped,249092.7677648
328,328,dropped,249092.8175409,249092.80176915
329,329,dropped,249092.8175409,249092.80176915
330,330,249092.84190205002,dropped,249092.83486355
331,331,249092.93950849999,249092.94866305,249092.93434809998
332,332,249092.93950849999,249092.94866305,249092.93434809998
333,333,249092.93950849999,249092.94866305,249092.93434809998
334,334,dropped,dropped,249092.96834129997
335,335,249093.04582605,dropped,249093.03578779998
336,336,249093.04582605,dropped,249093.03578779998
337,337,dropped,249093.0706494,249093.0687213
338,338,dropped,dropped,249093.10177695
339,339,dropped,249093.2174905,249093.2016916
340,340,dropped,249093.2174905,249093.2016916
341,341,dropped,249093.2174905,249093.2016916
342,342,249093.2414128,dropped,249093.23569705
343,343,249093.3394626,249093.34850105,249093.3357065
344,344,249093.3394626,249093.34850105,249093.3357065
345,345,249093.3394626,249093.34850105,249093.3357065
346,346,dropped,dropped,249093.3687863
347,347,249093.44599275,dropped,249093.4353327
348,348,249093.44599275,dropped,249093.4353327
349,349,dropped,249093.4710086,249093.4682539
350,350,dropped,dropped,249093.5022842
351,351,dropped,dropped,249093.56909295
352,352,dropped,249093.61742085,249093.6007213
353,353,dropped,249093.61742085,249093.6007213
354,354,249093.6417652,dropped,249093.63562780002
355,355,249093.7394219,249093.74843540002,249093.7355898
356,356,249093.7394219,249093.74843540002,249093.7355898
357,357,249093.7394219,249093.74843540002,249093.7355898
358,358,dropped,dropped,249093.76867245
359,359,249093.8457472,dropped,249093.83420014998
360,360,249093.8457472,dropped,249093.83420014998
361,361,dropped,249093.872169,249093.86824024998
362,362,dropped,dropped,249093.90225105
363,363,dropped,dropped,249093.96822735
364,364,dropped,249094.01779040002,249094.0022946
365,365,dropped,249094.01779040002,249094.0022946
366,366,249094.04193825,dropped,249094.03531910002
367,367,249094.13921745,249094.14875095,249094.13506025
368,368,249094.13921745,249094.14875095,249094.13506025
369,369,249094.13921745,249094.14875095,249094.13506025
370,370,dropped,dropped,249094.1681969
371,371,249094.245644,dropped,249094.2347158
372,372,249094.245644,dropped,249094.2347158
373,373,dropped,249094.2706285,249094.26870695
374,374,dropped,dropped,249094.3016844
375,375,dropped,dropped,249094.36807455
376,376,dropped,249094.41767415,249094.4020196
377,377,dropped,249094.41767415,249094.4020196
378,378,249094.44204290002,dropped,249094.4340472
379,379,249094.5396749,249094.54878425,249094.535162
380,380,249094.5396749,249094.54878425,249094.535162
381,381,249094.5396749,249094.54878425,249094.535162
382,382,dropped,dropped,249094.5692318
383,383,249094.6456435,dropped,249094.63481
384,384,dropped,249094.66273575,249094.66879845
385,385,dropped,249094.66273575,249094.66879845
386,386,dropped,dropped,249094.70172425
387,387,dropped,249094.8011413,249094.76879465
388,388,dropped,249094.8011413,249094.76879465
389,389,dropped,dropped,249094.80172265
390,390,249094.93947165,249094.94856624998,249094.93568285002
391,391,249094.93947165,249094.94856624998,249094.93568285002
392,392,249094.93947165,249094.94856624998,249094.93568285002
393,393,249094.93947165,249094.94856624998,249094.93568285002
394,394,dropped,dropped,249094.9688192
395,395,249095.04582464998,dropped,249095.03536719998
396,396,dropped,249095.06276970002,249095.06828695
397,397,dropped,249095.06276970002,249095.06828695
398,398,dropped,dropped,249095.1022574
399,399,dropped,249095.2009699,249095.16877235
400,400,dropped,249095.2009699,249095.16877235
401,401,dropped,dropped,249095.20170119999
402,402,249095.3395004,249095.34847735,249095.3347043
403,403,249095.3395004,249095.34847735,249095.3347043
404,404,249095.3395004,249095.34847735,249095.3347043
405,405,249095.3395004,249095.34847735,249095.3347043
406,406,dropped,dropped,249095.36867675
407,407,249095.4456765,dropped,249095.434709
408,408,249095.4456765,dropped,249095.434709
409,409,dropped,249095.4626744,249095.46867435
410,410,dropped,dropped,249095.5006974
411,411,dropped,249095.60127845,249095.56916870002
412,412,dropped,249095.60127845,249095.56916870002
413,413,dropped,dropped,249095.6019848
414,414,dropped,dropped,249095.66863625002
415,415,249095.73928500002,249095.74831795,249095.7353521
416,416,249095.73928500002,249095.74831795,249095.7353521
417,417,249095.73928500002,249095.74831795,249095.7353521
418,418,dropped,dropped,249095.76838219998
419,419,249095.84547495,dropped,249095.83474725002
420,420,249095.84547495,dropped,249095.83474725002
421,421,dropped,249095.86245545,249095.86876605
422,422,dropped,dropped,249095.90167115
423,423,dropped,249096.00096805,249095.96878935
424,424,dropped,249096.00096805,249095.96878935
425,425,dropped,dropped,249096.00168105
426,426,dropped,dropped,249096.0694477
427,427,249096.13946125,249096.1486555,249096.1346206
428,428,249096.13946125,249096.1486555,249096.1346206
429,429,249096.13946125,249096.1486555,249096.1346206
430,430,dropped,dropped,249096.16864435
431,431,249096.24578290002,dropped,249096.23499255
432,432,249096.24578290002,dropped,249096.23499255
433,433,dropped,249096.262895,249096.26898085
434,434,dropped,dropped,249096.30196265
435,435,dropped,249096.40119795,249096.3689974
436,436,dropped,249096.40119795,249096.3689974
437,437,dropped,dropped,249096.40192804998
438,438,dropped,dropped,249096.46905875
439,439,249096.5396861,249096.5487176,249096.534938
440,440,249096.5396861,249096.5487176,249096.534938
441,441,249096.5396861,249096.5487176,249096.534938
442,442,dropped,dropped,249096.56895415002
443,443,249096.64582445,dropped,249096.63498705
444,444,249096.64582445,dropped,249096.63498705
445,445,dropped,249096.66305839998,249096.6689897
446,446,dropped,dropped,249096.7022049
447,447,dropped,249096.80131215003,249096.76796505
448,448,dropped,249096.80131215003,249096.76796505
449,449,dropped,dropped,249096.80196605
450,450,dropped,dropped,249096.9011678
451,451,249096.9397371,249096.948716,249096.9353087
452,452,249096.9397371,249096.948716,249096.9353087
453,453,249096.9397371,249096.948716,249096.9353087
454,454,dropped,dropped,249096.96820345
455,455,249097.0451257,dropped,249097.03464375
456,456,249097.0451257,dropped,249097.03464375
457,457,dropped,249097.06252325,249097.06866745
458,458,dropped,dropped,249097.1009965
459,459,dropped,249097.20095975,249097.16848245
460,460,dropped,249097.20095975,249097.16848245
461,461,dropped,dropped,249097.2024878
462,462,dropped,dropped,249097.2684542
463,463,249097.33943235,249097.3484436,249097.3355722
464,464,249097.33943235,249097.3484436,249097.3355722
465,465,249097.33943235,249097.3484436,249097.3355722
466,466,dropped,dropped,249097.36850485
467,467,249097.4454672,dropped,249097.435556
468,468,dropped,249097.46251985,249097.46848095
469,469,dropped,249097.46251985,249097.46848095
470,470,dropped,dropped,249097.5024691
471,471,dropped,249097.601275,249097.6010839
472,472,dropped,249097.601275,249097.6010839
473,473,dropped,249097.601275,249097.6010839
474,474,249097.64208755002,dropped,249097.63522529998
475,475,249097.7392585,249097.74879935,249097.7351465
476,476,249097.7392585,249097.74879935,249097.7351465
477,477,249097.7392585,249097.74879935,249097.7351465
478,478,dropped,dropped,249097.7686549
479,479,249097.84578005,dropped,249097.83441915
480,480,249097.84578005,dropped,249097.83441915
481,481,dropped,249097.8627912,249097.8679941
482,482,dropped,dropped,249097.90209500003
483,483,dropped,249098.00101950002,249098.00089305
484,484,dropped,249098.00101950002,249098.00089305
485,485,dropped,249098.00101950002,249098.00089305
486,486,249098.0420589,dropped,249098.0349022
487,487,249098.13970875,249098.1485385,249098.1348078
488,488,249098.13970875,249098.1485385,249098.1348078
489,489,249098.13970875,249098.1485385,249098.1348078
490,490,dropped,dropped,249098.1688364
491,491,249098.24549325,dropped,249098.23449765
492,492,249098.24549325,dropped,249098.23449765
493,493,dropped,249098.2624641,249098.26853625
494,494,dropped,dropped,249098.30135765
495,495,dropped,249098.40135735,249098.3685112
496,496,dropped,249098.40135735,249098.3685112
497,497,dropped,dropped,249098.4015134
498,498,dropped,dropped,249098.50161044998
499,499,249098.5398308,249098.5484568,249098.5356091
500,500,249098.5398308,249098.5484568,249098.5356091
501,501,249098.5398308,249098.5484568,249098.5356091
502,502,dropped,dropped,249098.5686727
503,503,249098.6457544,dropped,249098.6345408
504,504,249098.6457544,dropped,249098.6345408
505,505,dropped,249098.662616,249098.66853735
506,506,dropped,dropped,249098.70173225
507,507,dropped,249098.80121434998,249098.76857925
508,508,dropped,249098.80121434998,249098.76857925
509,509,dropped,dropped,249098.80153765
510,510,dropped,dropped,249098.8679665
511,511,249098.93954765,249098.9485615,249098.93497270002
512,512,249098.93954765,249098.9485615,249098.93497270002
